sample_number,ID,sample_ID_simplified,sample_ID_extended,class
Sample_0729,18BL360,Big Fork River,BigForkRiver,Natural stand
Sample_0650,18BL361,Big Fork River,BigForkRiver,Natural stand
Sample_0662,18BL362,Big Fork River,BigForkRiver,Natural stand
Sample_0674,18BL363,Big Fork River,BigForkRiver,Natural stand
Sample_0686,18BL364,Big Fork River,BigForkRiver,Natural stand
Sample_0697,18BL365,Big Fork River,BigForkRiver,Natural stand
Sample_0708,18BL366,Big Fork River,BigForkRiver,Natural stand
Sample_0719,18BL367,Big Fork River,BigForkRiver,Natural stand
Sample_0730,18BL368,Big Fork River,BigForkRiver,Natural stand
Sample_0651,18BL369,Big Fork River,BigForkRiver,Natural stand
Sample_0663,18BL370,Big Fork River,BigForkRiver,Natural stand
Sample_0675,18BL371,Big Fork River,BigForkRiver,Natural stand
Sample_0075,18NS051,Clearwater River,Clearwater River,Natural stand
Sample_0087,18NS052,Clearwater River,Clearwater River,Natural stand
Sample_0007,18NS053,Clearwater River,Clearwater River,Natural stand
Sample_0018,18NS054,Clearwater River,Clearwater River,Natural stand
Sample_0029,18NS055,Clearwater River,Clearwater River,Natural stand
Sample_0040,18NS056,Clearwater River,Clearwater River,Natural stand
Sample_0052,18NS057,Clearwater River,Clearwater River,Natural stand
Sample_0064,18NS058,Clearwater River,Clearwater River,Natural stand
Sample_0076,18NS059,Clearwater River,Clearwater River,Natural stand
Sample_0088,18NS060,Clearwater River,Clearwater River,Natural stand
Sample_0008,18NS061,Clearwater River,Clearwater River,Natural stand
Sample_0019,18NS062,Clearwater River,Clearwater River,Natural stand
Sample_0030,18NS063,Clearwater River,Clearwater River,Natural stand
Sample_0041,18NS064,Clearwater River,Clearwater River,Natural stand
Sample_0053,18NS065,Clearwater River,Clearwater River,Natural stand
Sample_0065,18NS066,Clearwater River,Clearwater River,Natural stand
Sample_0077,18NS067,Clearwater River,Clearwater River,Natural stand
Sample_0089,18NS068,Clearwater River,Clearwater River,Natural stand
Sample_0009,18NS069,Clearwater River,Clearwater River,Natural stand
Sample_0020,18NS070,Clearwater River,Clearwater River,Natural stand
Sample_0031,18NS071,Clearwater River,Clearwater River,Natural stand
Sample_0042,18NS072,Clearwater River,Clearwater River,Natural stand
Sample_0054,18NS073,Clearwater River,Clearwater River,Natural stand
Sample_0066,18NS074,Clearwater River,Clearwater River,Natural stand
Sample_0078,18NS075,Clearwater River,Clearwater River,Natural stand
Sample_0090,18NS076,Clearwater River,Clearwater River,Natural stand
Sample_0010,18NS077,Clearwater River,Clearwater River,Natural stand
Sample_0021,18NS078,Clearwater River,Clearwater River,Natural stand
Sample_0032,18NS079,Clearwater River,Clearwater River,Natural stand
Sample_0043,18NS080,Clearwater River,Clearwater River,Natural stand
Sample_0055,18NS081,Clearwater River,Clearwater River,Natural stand
Sample_0067,18NS082,Clearwater River,Clearwater River,Natural stand
Sample_0079,18NS083,Clearwater River,Clearwater River,Natural stand
Sample_0091,18NS084,Clearwater River,Clearwater River,Natural stand
Sample_0011,18NS085,Clearwater River,Clearwater River,Natural stand
Sample_0022,18NS086,Clearwater River,Clearwater River,Natural stand
Sample_0033,18NS087,Clearwater River,Clearwater River,Natural stand
Sample_0044,18NS088,Clearwater River,Clearwater River,Natural stand
Sample_0056,18NS089,Clearwater River,Clearwater River,Natural stand
Sample_0068,18NS090,Clearwater River,Clearwater River,Natural stand
Sample_0080,18NS091,Clearwater River,Clearwater River,Natural stand
Sample_0092,18NS092,Clearwater River,Clearwater River,Natural stand
Sample_0093,18NS093,Clearwater River,Clearwater River,Natural stand
Sample_0105,18NS094,Clearwater River,Clearwater River,Natural stand
Sample_0117,18NS095,Clearwater River,Clearwater River,Natural stand
Sample_0129,18NS096,Clearwater River,Clearwater River,Natural stand
Sample_0094,18NS097,Clearwater River,Clearwater River,Natural stand
Sample_0106,18NS098,Clearwater River,Clearwater River,Natural stand
Sample_0118,18NS099,Clearwater River,Clearwater River,Natural stand
Sample_0130,18NS100,Clearwater River,Clearwater River,Natural stand
Sample_0355,18NS351,Dahler Lake,Dahler Lake,Natural stand
Sample_0366,18NS352,Dahler Lake,Dahler Lake,Natural stand
Sample_0287,18NS353,Dahler Lake,Dahler Lake,Natural stand
Sample_0299,18NS354,Dahler Lake,Dahler Lake,Natural stand
Sample_0311,18NS355,Dahler Lake,Dahler Lake,Natural stand
Sample_0323,18NS356,Dahler Lake,Dahler Lake,Natural stand
Sample_0334,18NS357,Dahler Lake,Dahler Lake,Natural stand
Sample_0345,18NS358,Dahler Lake,Dahler Lake,Natural stand
Sample_0356,18NS359,Dahler Lake,Dahler Lake,Natural stand
Sample_0367,18NS360,Dahler Lake,Dahler Lake,Natural stand
Sample_0288,18NS361,Dahler Lake,Dahler Lake,Natural stand
Sample_0300,18NS362,Dahler Lake,Dahler Lake,Natural stand
Sample_0312,18NS363,Dahler Lake,Dahler Lake,Natural stand
Sample_0324,18NS364,Dahler Lake,Dahler Lake,Natural stand
Sample_0335,18NS365,Dahler Lake,Dahler Lake,Natural stand
Sample_0346,18NS366,Dahler Lake,Dahler Lake,Natural stand
Sample_0357,18NS367,Dahler Lake,Dahler Lake,Natural stand
Sample_0368,18NS368,Dahler Lake,Dahler Lake,Natural stand
Sample_0369,18NS369,Dahler Lake,Dahler Lake,Natural stand
Sample_0380,18NS370,Dahler Lake,Dahler Lake,Natural stand
Sample_0391,18NS371,Dahler Lake,Dahler Lake,Natural stand
Sample_0402,18NS372,Dahler Lake,Dahler Lake,Natural stand
Sample_0413,18NS373,Dahler Lake,Dahler Lake,Natural stand
Sample_0425,18NS374,Dahler Lake,Dahler Lake,Natural stand
Sample_0437,18NS375,Dahler Lake,Dahler Lake,Natural stand
Sample_0449,18NS376,Dahler Lake,Dahler Lake,Natural stand
Sample_0370,18NS377,Dahler Lake,Dahler Lake,Natural stand
Sample_0381,18NS378,Dahler Lake,Dahler Lake,Natural stand
Sample_0392,18NS379,Dahler Lake,Dahler Lake,Natural stand
Sample_0403,18NS380,Dahler Lake,Dahler Lake,Natural stand
Sample_0414,18NS381,Dahler Lake,Dahler Lake,Natural stand
Sample_0426,18NS382,Dahler Lake,Dahler Lake,Natural stand
Sample_0438,18NS383,Dahler Lake,Dahler Lake,Natural stand
Sample_0450,18NS384,Dahler Lake,Dahler Lake,Natural stand
Sample_0415,18NS385,Dahler Lake,Dahler Lake,Natural stand
Sample_0427,18NS386,Dahler Lake,Dahler Lake,Natural stand
Sample_0439,18NS387,Dahler Lake,Dahler Lake,Natural stand
Sample_0451,18NS388,Dahler Lake,Dahler Lake,Natural stand
Sample_0371,18NS389,Dahler Lake,Dahler Lake,Natural stand
Sample_0382,18NS390,Dahler Lake,Dahler Lake,Natural stand
Sample_0393,18NS391,Dahler Lake,Dahler Lake,Natural stand
Sample_0404,18NS392,Dahler Lake,Dahler Lake,Natural stand
Sample_0416,18NS393,Dahler Lake,Dahler Lake,Natural stand
Sample_0428,18NS394,Dahler Lake,Dahler Lake,Natural stand
Sample_0440,18NS395,Dahler Lake,Dahler Lake,Natural stand
Sample_0452,18NS396,Dahler Lake,Dahler Lake,Natural stand
Sample_0372,18NS397,Dahler Lake,Dahler Lake,Natural stand
Sample_0383,18NS398,Dahler Lake,Dahler Lake,Natural stand
Sample_0394,18NS399,Dahler Lake,Dahler Lake,Natural stand
Sample_0405,18NS400,Dahler Lake,Dahler Lake,Natural stand
Sample_0551,18NS451,Decker Lake,Decker Lake,Natural stand
Sample_0562,18NS452,Decker Lake,Decker Lake,Natural stand
Sample_0573,18NS453,Decker Lake,Decker Lake,Natural stand
Sample_0584,18NS454,Decker Lake,Decker Lake,Natural stand
Sample_0595,18NS455,Decker Lake,Decker Lake,Natural stand
Sample_0607,18NS456,Decker Lake,Decker Lake,Natural stand
Sample_0619,18NS457,Decker Lake,Decker Lake,Natural stand
Sample_0631,18NS458,Decker Lake,Decker Lake,Natural stand
Sample_0552,18NS459,Decker Lake,Decker Lake,Natural stand
Sample_0563,18NS460,Decker Lake,Decker Lake,Natural stand
Sample_0574,18NS461,Decker Lake,Decker Lake,Natural stand
Sample_0585,18NS462,Decker Lake,Decker Lake,Natural stand
Sample_0596,18NS463,Decker Lake,Decker Lake,Natural stand
Sample_0608,18NS464,Decker Lake,Decker Lake,Natural stand
Sample_0620,18NS465,Decker Lake,Decker Lake,Natural stand
Sample_0632,18NS466,Decker Lake,Decker Lake,Natural stand
Sample_0553,18NS467,Decker Lake,Decker Lake,Natural stand
Sample_0564,18NS468,Decker Lake,Decker Lake,Natural stand
Sample_0575,18NS469,Decker Lake,Decker Lake,Natural stand
Sample_0586,18NS470,Decker Lake,Decker Lake,Natural stand
Sample_0597,18NS471,Decker Lake,Decker Lake,Natural stand
Sample_0609,18NS472,Decker Lake,Decker Lake,Natural stand
Sample_0621,18NS473,Decker Lake,Decker Lake,Natural stand
Sample_0633,18NS474,Decker Lake,Decker Lake,Natural stand
Sample_0598,18NS475,Decker Lake,Decker Lake,Natural stand
Sample_0610,18NS476,Decker Lake,Decker Lake,Natural stand
Sample_0622,18NS477,Decker Lake,Decker Lake,Natural stand
Sample_0634,18NS478,Decker Lake,Decker Lake,Natural stand
Sample_0554,18NS479,Decker Lake,Decker Lake,Natural stand
Sample_0565,18NS480,Decker Lake,Decker Lake,Natural stand
Sample_0576,18NS481,Decker Lake,Decker Lake,Natural stand
Sample_0587,18NS482,Decker Lake,Decker Lake,Natural stand
Sample_0599,18NS483,Decker Lake,Decker Lake,Natural stand
Sample_0611,18NS484,Decker Lake,Decker Lake,Natural stand
Sample_0623,18NS485,Decker Lake,Decker Lake,Natural stand
Sample_0635,18NS486,Decker Lake,Decker Lake,Natural stand
Sample_0555,18NS487,Decker Lake,Decker Lake,Natural stand
Sample_0566,18NS488,Decker Lake,Decker Lake,Natural stand
Sample_0577,18NS489,Decker Lake,Decker Lake,Natural stand
Sample_0588,18NS490,Decker Lake,Decker Lake,Natural stand
Sample_0600,18NS491,Decker Lake,Decker Lake,Natural stand
Sample_0612,18NS492,Decker Lake,Decker Lake,Natural stand
Sample_0624,18NS493,Decker Lake,Decker Lake,Natural stand
Sample_0636,18NS494,Decker Lake,Decker Lake,Natural stand
Sample_0556,18NS495,Decker Lake,Decker Lake,Natural stand
Sample_0567,18NS496,Decker Lake,Decker Lake,Natural stand
Sample_0578,18NS497,Decker Lake,Decker Lake,Natural stand
Sample_0589,18NS498,Decker Lake,Decker Lake,Natural stand
Sample_0601,18NS499,Decker Lake,Decker Lake,Natural stand
Sample_0613,18NS500,Decker Lake,Decker Lake,Natural stand
Sample_0873,18BL249,Dovetail,DV3-3,Breeding line
Sample_0885,18BL266,Dovetail,DV3-3,Breeding line
Sample_0865,18BL333,Dovetail,DV3-3,Breeding line
Sample_0882,18BL335,Dovetail,DV4-2,Breeding line
Sample_0893,18BL336,Dovetail,DV4-2,Breeding line
Sample_0993,18DV001,Dovetail,DV,Breeding line
Sample_1002,18DV002,Dovetail,DV,Breeding line
Sample_1011,18DV003,Dovetail,DV,Breeding line
Sample_1019,18DV004,Dovetail,DV,Breeding line
Sample_1026,18DV005,Dovetail,DV,Breeding line
Sample_1033,18DV006,Dovetail,DV,Breeding line
Sample_1040,18DV007,Dovetail,DV,Breeding line
Sample_1046,18DV008,Dovetail,DV,Breeding line
Sample_0994,18DV009,Dovetail,DV,Breeding line
Sample_1003,18DV010,Dovetail,DV,Breeding line
Sample_0747,18BL168,FY-C20,FY-C20,Breeding line
Sample_0758,18BL169,FY-C20,FY-C20,Breeding line
Sample_0807,18BL186,FY-C20,FYC20Gun91N,Breeding line
Sample_0739,18BL187,FY-C20,FYC20Gun91N,Breeding line
Sample_0749,18BL188,FY-C20,FYC20Gun91N,Breeding line
Sample_0778,18BL191,FY-C20,FYC20Gun27A,Breeding line
Sample_0788,18BL192,FY-C20,FYC20Gun27A,Breeding line
Sample_0798,18BL193,FY-C20,FYC20Gun27A,Breeding line
Sample_0812,18BL234,FY-C20,FYC20IMLO2,Breeding line
Sample_0744,18BL235,FY-C20,FYC20IMLO2,Breeding line
Sample_0755,18BL236,FY-C20,FYC20IMLO2,Breeding line
Sample_0813,18BL242,FY-C20,FY-C20 (BS),Breeding line
Sample_0814,18BL243,FY-C20,FY-C20 (BS),Breeding line
Sample_0826,18BL244,FY-C20,FY-C20 (BS),Breeding line
Sample_0838,18BL245,FY-C20,FY-C20 (BS),Breeding line
Sample_0848,18BL246,FY-C20,FY-C20 (BS),Breeding line
Sample_0858,18BL247,FY-C20,FY-C20 (BS),Breeding line
Sample_0866,18BL248,FY-C20,FY-C20 (BS),Breeding line
Sample_0818,18BL275,FY-C20,FY-C20,Breeding line
Sample_0830,18BL276,FY-C20,FY-C20,Breeding line
Sample_0840,18BL277,FY-C20,FY-C20,Breeding line
Sample_0850,18BL278,FY-C20,FY-C20,Breeding line
Sample_0875,18BL279,FY-C20,FY-C20,Breeding line
Sample_0886,18BL280,FY-C20,FY-C20,Breeding line
Sample_0819,18BL281,FY-C20,FY-C20,Breeding line
Sample_0831,18BL282,FY-C20,FY-C20,Breeding line
Sample_0841,18BL283,FY-C20,FY-C20,Breeding line
Sample_0851,18BL284,FY-C20,FY-C20,Breeding line
Sample_0857,18BL332,FY-C20,FY-C20-6,Breeding line
Sample_1047,FY-C20,FY-C20,FY-C20,Breeding line
Sample_0169,18NS151,Garfield Lake,Garfield Lake,Natural stand
Sample_0180,18NS152,Garfield Lake,Garfield Lake,Natural stand
Sample_0101,18NS153,Garfield Lake,Garfield Lake,Natural stand
Sample_0113,18NS154,Garfield Lake,Garfield Lake,Natural stand
Sample_0125,18NS155,Garfield Lake,Garfield Lake,Natural stand
Sample_0137,18NS156,Garfield Lake,Garfield Lake,Natural stand
Sample_0148,18NS157,Garfield Lake,Garfield Lake,Natural stand
Sample_0159,18NS158,Garfield Lake,Garfield Lake,Natural stand
Sample_0170,18NS159,Garfield Lake,Garfield Lake,Natural stand
Sample_0181,18NS160,Garfield Lake,Garfield Lake,Natural stand
Sample_0102,18NS161,Garfield Lake,Garfield Lake,Natural stand
Sample_0114,18NS162,Garfield Lake,Garfield Lake,Natural stand
Sample_0126,18NS163,Garfield Lake,Garfield Lake,Natural stand
Sample_0138,18NS164,Garfield Lake,Garfield Lake,Natural stand
Sample_0149,18NS165,Garfield Lake,Garfield Lake,Natural stand
Sample_0160,18NS166,Garfield Lake,Garfield Lake,Natural stand
Sample_0171,18NS167,Garfield Lake,Garfield Lake,Natural stand
Sample_0182,18NS168,Garfield Lake,Garfield Lake,Natural stand
Sample_0103,18NS169,Garfield Lake,Garfield Lake,Natural stand
Sample_0115,18NS170,Garfield Lake,Garfield Lake,Natural stand
Sample_0127,18NS171,Garfield Lake,Garfield Lake,Natural stand
Sample_0139,18NS172,Garfield Lake,Garfield Lake,Natural stand
Sample_0150,18NS173,Garfield Lake,Garfield Lake,Natural stand
Sample_0161,18NS174,Garfield Lake,Garfield Lake,Natural stand
Sample_0172,18NS175,Garfield Lake,Garfield Lake,Natural stand
Sample_0183,18NS176,Garfield Lake,Garfield Lake,Natural stand
Sample_0104,18NS177,Garfield Lake,Garfield Lake,Natural stand
Sample_0116,18NS178,Garfield Lake,Garfield Lake,Natural stand
Sample_0128,18NS179,Garfield Lake,Garfield Lake,Natural stand
Sample_0140,18NS180,Garfield Lake,Garfield Lake,Natural stand
Sample_0151,18NS181,Garfield Lake,Garfield Lake,Natural stand
Sample_0162,18NS182,Garfield Lake,Garfield Lake,Natural stand
Sample_0173,18NS183,Garfield Lake,Garfield Lake,Natural stand
Sample_0184,18NS184,Garfield Lake,Garfield Lake,Natural stand
Sample_0185,18NS185,Garfield Lake,Garfield Lake,Natural stand
Sample_0196,18NS186,Garfield Lake,Garfield Lake,Natural stand
Sample_0207,18NS187,Garfield Lake,Garfield Lake,Natural stand
Sample_0218,18NS188,Garfield Lake,Garfield Lake,Natural stand
Sample_0229,18NS189,Garfield Lake,Garfield Lake,Natural stand
Sample_0241,18NS190,Garfield Lake,Garfield Lake,Natural stand
Sample_0253,18NS191,Garfield Lake,Garfield Lake,Natural stand
Sample_0265,18NS192,Garfield Lake,Garfield Lake,Natural stand
Sample_0230,18NS193,Garfield Lake,Garfield Lake,Natural stand
Sample_0242,18NS194,Garfield Lake,Garfield Lake,Natural stand
Sample_0254,18NS195,Garfield Lake,Garfield Lake,Natural stand
Sample_0266,18NS196,Garfield Lake,Garfield Lake,Natural stand
Sample_0186,18NS197,Garfield Lake,Garfield Lake,Natural stand
Sample_0197,18NS198,Garfield Lake,Garfield Lake,Natural stand
Sample_0208,18NS199,Garfield Lake,Garfield Lake,Natural stand
Sample_0219,18NS200,Garfield Lake,Garfield Lake,Natural stand
Sample_1049,GarfieldLake,Garfield Lake,Garfield Lake,Natural stand
Sample_0447,18NS601,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0459,18NS602,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0379,18NS603,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0390,18NS604,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0401,18NS605,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0412,18NS606,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0424,18NS607,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0436,18NS608,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0448,18NS609,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0460,18NS610,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0461,18NS611,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0473,18NS612,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0485,18NS613,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0497,18NS614,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0509,18NS615,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0520,18NS616,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0531,18NS617,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0541,18NS618,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0462,18NS619,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0474,18NS620,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0486,18NS621,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0498,18NS622,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0510,18NS623,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0521,18NS624,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0532,18NS625,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0542,18NS626,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0463,18NS627,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0475,18NS628,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0487,18NS629,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0499,18NS630,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0464,18NS631,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0476,18NS632,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0488,18NS633,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0500,18NS634,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0511,18NS635,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0522,18NS636,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0533,18NS637,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0543,18NS638,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0465,18NS639,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0477,18NS640,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0489,18NS641,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0501,18NS642,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0512,18NS643,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0523,18NS644,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0534,18NS645,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0544,18NS646,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0466,18NS647,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0478,18NS648,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0490,18NS649,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0502,18NS650,Garfield Lake Old,GarfieldLakeOld,Natural stand
Sample_0752,18BL212,GPB/K2B-C2,GPB/K2B-C2,Breeding line
Sample_0889,18BL304,GPB/K2B-C2,GPB/K2B-C2,Breeding line
Sample_0822,18BL305,GPB/K2B-C2,GPB/K2B-C2,Breeding line
Sample_0781,18BL215,GPN-1.20,GPN-1.20,Breeding line
Sample_0791,18BL216,GPN-1.20,GPN-1.20,Breeding line
Sample_0801,18BL217,GPP-1.20,GPP-1.20,Breeding line
Sample_0810,18BL218,GPP-1.20,GPP-1.20,Breeding line
Sample_0870,18BL310,GPP-1.20,GPP-1.20,Breeding line
Sample_0879,18BL311,GPP-1.20,GPP-1.20,Breeding line
Sample_0890,18BL312,GPP-1.20,GPP-1.20,Breeding line
Sample_0823,18BL313,GPP-1.20,GPP-1.20,Breeding line
Sample_1039,18BL524,Itasca Haploid,ItascaHaploid,Breeding line
Sample_1045,18BL525,Itasca Haploid,ItascaHaploid,Breeding line
Sample_0654,18BL076,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0666,18BL077,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0678,18BL078,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0690,18BL079,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0701,18BL080,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0712,18BL081,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0723,18BL082,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0734,18BL083,Itasca-C12,Itasca-C12 Dur,Breeding line
Sample_0773,18BL155,Itasca-C12,Itasca-C12GWK2,Breeding line
Sample_0784,18BL156,Itasca-C12,Itasca-C12GWK2,Breeding line
Sample_0794,18BL157,Itasca-C12,Itasca-C12GWK2,Breeding line
Sample_0736,18BL159,Itasca-C12,Itasca-C12GWDCO6,Breeding line
Sample_0746,18BL160,Itasca-C12,ItascaC12IMLPG3,Breeding line
Sample_0757,18BL161,Itasca-C12,ItascaC12IMLPG3,Breeding line
Sample_0765,18BL162,Itasca-C12,ItascaC12IMLPG3,Breeding line
Sample_0795,18BL165,Itasca-C12,ItascaC12IMLS7,Breeding line
Sample_0804,18BL166,Itasca-C12,ItascaC12IMLS7,Breeding line
Sample_0737,18BL167,Itasca-C12,ItascaC12IMLS7,Breeding line
Sample_0766,18BL170,Itasca-C12,Itasca-C12,Breeding line
Sample_0775,18BL171,Itasca-C12,Itasca-C12,Breeding line
Sample_0786,18BL172,Itasca-C12,Itasca-C12,Breeding line
Sample_0796,18BL173,Itasca-C12,Itasca-C12,Breeding line
Sample_0805,18BL174,Itasca-C12,Itasca-C12,Breeding line
Sample_0738,18BL175,Itasca-C12,ItascaC12DUR,Breeding line
Sample_0748,18BL176,Itasca-C12,ItascaC12DUR,Breeding line
Sample_0759,18BL177,Itasca-C12,ItascaC12DUR,Breeding line
Sample_0767,18BL178,Itasca-C12,ItascaC12DUR,Breeding line
Sample_0817,18BL267,Itasca-C12,Itasca-C12GWDCO6,Breeding line
Sample_0829,18BL268,Itasca-C12,Itasca-C12GWDCO6,Breeding line
Sample_0888,18BL296,Itasca-C12,Itasca-C12,Breeding line
Sample_0821,18BL297,Itasca-C12,Itasca-C12,Breeding line
Sample_1050,Itasca-C12,Itasca-C12,Itasca-C12,Breeding line
Sample_0940,18BL413,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0952,18BL414,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0964,18BL415,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0976,18BL416,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0897,18BL417,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0908,18BL418,Johnson X Dora F4,Johnson X Dora F4,Breeding line
Sample_0919,18BL419,Johnson X Dora F4,Johnson X Dora F4,Breeding line
