0001,18NS005_S1_R1_001.fastq.gz
0002,18NS013_S2_R1_001.fastq.gz
0003,18NS021_S3_R1_001.fastq.gz
0004,18NS029_S4_R1_001.fastq.gz
0005,18NS037_S5_R1_001.fastq.gz
0006,18NS045_S6_R1_001.fastq.gz
0007,18NS053_S7_R1_001.fastq.gz
0008,18NS061_S8_R1_001.fastq.gz
0009,18NS069_S9_R1_001.fastq.gz
0010,18NS077_S10_R1_001.fastq.gz
0011,18NS085_S11_R1_001.fastq.gz
0012,18NS006_S12_R1_001.fastq.gz
0013,18NS014_S13_R1_001.fastq.gz
0014,18NS022_S14_R1_001.fastq.gz
0015,18NS030_S15_R1_001.fastq.gz
0016,18NS038_S16_R1_001.fastq.gz
0017,18NS046_S17_R1_001.fastq.gz
0018,18NS054_S18_R1_001.fastq.gz
0019,18NS062_S19_R1_001.fastq.gz
0020,18NS070_S20_R1_001.fastq.gz
0021,18NS078_S21_R1_001.fastq.gz
0022,18NS086_S22_R1_001.fastq.gz
0023,18NS007_S23_R1_001.fastq.gz
0024,18NS015_S24_R1_001.fastq.gz
0025,18NS023_S25_R1_001.fastq.gz
0026,18NS031_S26_R1_001.fastq.gz
0027,18NS039_S27_R1_001.fastq.gz
0028,18NS047_S28_R1_001.fastq.gz
0029,18NS055_S29_R1_001.fastq.gz
0030,18NS063_S30_R1_001.fastq.gz
0031,18NS071_S31_R1_001.fastq.gz
0032,18NS079_S32_R1_001.fastq.gz
0033,18NS087_S33_R1_001.fastq.gz
0034,18NS008_S34_R1_001.fastq.gz
0035,18NS016_S35_R1_001.fastq.gz
0036,18NS024_S36_R1_001.fastq.gz
0037,18NS032_S37_R1_001.fastq.gz
0038,18NS040_S38_R1_001.fastq.gz
0039,18NS048_S39_R1_001.fastq.gz
0040,18NS056_S40_R1_001.fastq.gz
0041,18NS064_S41_R1_001.fastq.gz
0042,18NS072_S42_R1_001.fastq.gz
0043,18NS080_S43_R1_001.fastq.gz
0044,18NS088_S44_R1_001.fastq.gz
0045,18NS001_S45_R1_001.fastq.gz
0046,18NS009_S46_R1_001.fastq.gz
0047,18NS017_S47_R1_001.fastq.gz
